Animales domésticos,Perro,Gato,Conejo,Hámster
Animales salvajes,León,Tigre,Jirafa,Elefante
Aplicaciones móviles,WhatsApp,Telegram,Spotify,YouTube
Árboles,Roble,Pino,Abeto,Secuoya
Aves,Águila,Loro,Cóndor,Flamenco
Bebidas,Coca Cola,Pepsi,Jugo,Agua
Comidas rápidas,Pizza,Hamburguesa,Taco,Sándwich
Comidas saludables,Ensalada,Yogur,Avena,Frutas
Deportes,Fútbol,Baloncesto,Tenis,Natación
Electrodomésticos,Lavadora,Nevera,Microondas,Tostadora
Electrónica,Resistencia,Capacitor,Inductor,Diodo
Elementos de seguridad,Casco,Chaleco,Extintor,Señales
Elementos químicos,Oro,Plata,Hidrógeno,Oxígeno
Estaciones del año,Primavera,Verano,Otoño,Invierno
Estados de la materia,Sólido,Líquido,Gaseoso,Plasma
Famosos científicos,Einstein,Newton,Curie,Galileo
Fenómenos meteorológicos,Lluvia,Nieve,Granizo,Viento
Fenómenos naturales,Tornado,Terremoto,Volcán,Inundación
Festividades,Navidad,Halloween,Pascua,Año Nuevo
Fiestas populares,Carnaval,Oktoberfest,San Fermín,Tomatina
Flores,Rosa,Margarita,Tulipán,Orquídea
Frutas,Manzana,Plátano,Uva,Naranja
Géneros literarios,Novela,Poesía,Ensayo,Teatro
Géneros musicales,Rock,Pop,Clásica,Jazz
Héroes de ficción,Superman,Batman,Spiderman,Ironman
Idiomas,Inglés,Español,Francés,Chino
Instrumentos de viento,Flauta,Trombón,Saxofón,Clarinete
Inventos de Tesla,Bobina,Corriente Alterna,Radio,Motor Eléctrico
Juegos,Jenga,Damas,Monopoly,Cartas
Juguetes,Lego,Barbie,Beyblade,Hot Wheels
Lenguajes de programación,Python,Java,C++,Ruby
Marcas de ropa,Nike,Adidas,Puma,Jordan
Materias escolares,Matemáticas,Lengua,Historia,Geografía
Monedas del mundo,Euro,Peso,Dólar,Yen
Monumentos,Coliseo,Torre Eiffel,Gran Muralla,Cabildo
Muebles,Silla,Mesa,Sofá,Cama
Parientes,Madre,Padre,Hermano,Hermana
Partes del cuerpo,Mano,Cabeza,Pierna,Torso
Planetas,Mercurio,Venus,Marte,Júpiter
Profesiones,Doctor,Ingeniero,Abogado,Profesor
Redes sociales,Facebook,Instagram,Twitter,TikTok
Reinos biológicos,Animal,Vegetal,Fungi,Protista
Reptiles,Iguana,Cocodrilo,Serpiente,Tortuga
Transportes públicos,Autobús,Metro,Tranvía,Taxi
Vehículos,Carro,Moto,Bicicleta,Avión
